# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-11-04
#
# GRDC-No.:              2180700
# River:                 YELLOW RIVER
# Station:               SANMENXIA
# Country:               CN
# Latitude (DD):       34.82
# Longitude (DD):      111.37
# Catchment area (km²):      688421.0
# Altitude (m ASL):        280.0
# Next downstream station:      2180800
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953 - 1988
# No. of years:          36
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 432
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1979-08-01;--:--;   2950.000;   -999.000;   0
1979-09-01;--:--;   2360.000;   -999.000;   0
1979-10-01;--:--;   1790.000;   -999.000;   0
1979-11-01;--:--;    580.000;   -999.000;   0
1979-12-01;--:--;    749.000;   -999.000;   0
1980-01-01;--:--;    495.000;   -999.000;   0
1980-02-01;--:--;    348.000;   -999.000;   0
1980-03-01;--:--;    949.000;   -999.000;   0
1980-04-01;--:--;    822.000;   -999.000;   0
1980-05-01;--:--;    691.000;   -999.000;   0
1980-06-01;--:--;    631.000;   -999.000;   0
1980-07-01;--:--;   1060.000;   -999.000;   0
1980-08-01;--:--;   1160.000;   -999.000;   0
1980-09-01;--:--;   1300.000;   -999.000;   0
1980-10-01;--:--;   1470.000;   -999.000;   0
1980-11-01;--:--;    606.000;   -999.000;   0
1980-12-01;--:--;    507.000;   -999.000;   0
1981-01-01;--:--;    343.000;   -999.000;   0
1981-02-01;--:--;    489.000;   -999.000;   0
1981-03-01;--:--;    714.000;   -999.000;   0
1981-04-01;--:--;    712.000;   -999.000;   0
1981-05-01;--:--;    705.000;   -999.000;   0
1981-06-01;--:--;    304.000;   -999.000;   0
1981-07-01;--:--;   2240.000;   -999.000;   0
1981-08-01;--:--;   2240.000;   -999.000;   0
1981-09-01;--:--;   4440.000;   -999.000;   0
1981-10-01;--:--;   3450.000;   -999.000;   0
1981-11-01;--:--;    855.000;   -999.000;   0
1981-12-01;--:--;    631.000;   -999.000;   0
1982-01-01;--:--;    562.000;   -999.000;   0
1982-02-01;--:--;    627.000;   -999.000;   0
1982-03-01;--:--;   1130.000;   -999.000;   0
1982-04-01;--:--;    900.000;   -999.000;   0
1982-05-01;--:--;    865.000;   -999.000;   0
1982-06-01;--:--;   1030.000;   -999.000;   0
1982-07-01;--:--;   1100.000;   -999.000;   0
1982-08-01;--:--;   2010.000;   -999.000;   0
1982-09-01;--:--;   1620.000;   -999.000;   0
1982-10-01;--:--;   1840.000;   -999.000;   0
1982-11-01;--:--;   1020.000;   -999.000;   0
1982-12-01;--:--;    559.000;   -999.000;   0
1983-01-01;--:--;    535.000;   -999.000;   0
1983-02-01;--:--;    607.000;   -999.000;   0
1983-03-01;--:--;    740.000;   -999.000;   0
1983-04-01;--:--;    901.000;   -999.000;   0
1983-05-01;--:--;   1110.000;   -999.000;   0
1983-06-01;--:--;   1320.000;   -999.000;   0
1983-07-01;--:--;   2310.000;   -999.000;   0
1983-08-01;--:--;   3620.000;   -999.000;   0
1983-09-01;--:--;   2440.000;   -999.000;   0
1983-10-01;--:--;   3520.000;   -999.000;   0
1983-11-01;--:--;   1760.000;   -999.000;   0
1983-12-01;--:--;    970.000;   -999.000;   0
1984-01-01;--:--;    415.000;   -999.000;   0
1984-02-01;--:--;    447.000;   -999.000;   0
1984-03-01;--:--;   1330.000;   -999.000;   0
1984-04-01;--:--;   1020.000;   -999.000;   0
1984-05-01;--:--;   1040.000;   -999.000;   0
1984-06-01;--:--;    985.000;   -999.000;   0
